English,Chinese
aboriginal,土著的; 土著居民
abound,丰富
abrupt,突然的，陡峭的
abstain,戒，避开
abstract,抽象的，难解的
abuse,滥用，辱骂
accommodation,招待设备
accordingly,照着办;响应地
accounting,会计学
acid,酸的
acknowledge,承认
acquire,取得，学到
acrylic,丙烯酸的
adapt,使适应
addict,使沉溺
adept,熟练的，内行的
adopt,采用;收养
aeronautic,航空的
affect,影响;感动
affiliate,接纳...为会员(或分支)
agency,力量;代理
agitate,鼓动;搅动;焦虑
alchemy,炼金术
alkali,碱
allergy,变(态反)应性;反感
allocate,分配，把...划归
allot,分配;拨给
almond,杏仁
alpine,高山的
alternate,交替的;轮流的
alternative,两者挑一的;选择的
aluminium,铝
amateur,业余活动者
ambiguous,模棱两可的
amenity,舒服，愉快
ammonia,氨
analysis,分析;解析
anatomy,解剖;分解
anecdote,轶事
annoy,使烦恼; 打扰
annual,"每年的, 年度的"
anthropology,人类学
anticlockwise,逆时针方向的
anxious,"忧虑的, 担心的"
ape,类人猿; 模仿者
appeal,呼吁; 求助于
appear,"出现, 来到"
appetite,"食欲, 胃口"
applicant,申请人
appropriate,适当的
approximate,"近似的,大约的"
arable,可耕的
arboreal,树木的; 树状的
arduous,艰巨的; 努力的
ascertain,"查明, 确定"
aspect,样子; (问题等的)方面
aspiration,志气; 渴望
assemble,集合; 装备
assert,断言;维护
assess,对…进行评估
assignment,分配;指定
assist,援助;搀扶
association,联合;联盟;联想
assume,假定;承担
asterisk,星号
asthmatic,气喘的
asymmetry,不对称(现象)
attain,达到; 完成; 获得
attract,吸引
audio,听觉视觉的
aural,气味的; 香味的
authority,权力; 职权
available,可用的; 通用的
averse,反对的
aviation,航空; 航空学
baffle,使挫折; 使困惑
balk,阻碍; 挫折
bamboo,竹
barbecue,吃烤肉的野餐会
bargain,交易; 议价
barrier,栅栏; 障碍
bead,念珠
beyond,远于; 迟于
bilateral,两边的; 双边的
biology,生物学; 生态学
bladder,囊; 气泡
blade,刀片
bleach,漂白
blow,吹; 爆炸
blunt,不锋利的; 迟钝的
boast,自夸
bona fide,[拉]真正的;真诚的
bonanza,富矿脉
bond,契约;公债
boom,隆隆声;兴旺;吹捧
borax,硼砂; 月石
border,边; 边界
botany,植物学
branch,"分枝; 分科, 部门"
brand,燃烧着的木头
breed,生产; 繁殖
brewery,啤酒厂
brisk,活泼的; 清新的
brood,一窝;一伙(人)
budget,预算
bulb,球茎; 电灯泡
bulky,庞大的
burrow,"地洞, 穴"
bush,灌木
buzz,蜂等嗡嗡叫
calcium,钙
calibre,口径，直径
campaign,战役;运动
campus,校园
canteen,小卖部;饭盒
capture,捕获;俘虏
carbon,碳
cargo,货物
carrousel,骑术比赛
casual,偶然的;不定期的
catastrophe,大灾难;大败
category,种类
caterpillar,毛虫
caustic,刻薄的，讽刺的
censure,指责，非难
centrifugal,离心的
ceramic,陶瓷的
chamber,房间;会所
charcoal,木炭
characteristic,独特的
chic,{法}漂亮(的)
chip,碎片
chloride,氯化物
choke,阻塞;闷死
chronic,长期的，慢性的
circumstance,(复)情况
cite,引用
clay,粘土
climatic,气候的
climax,顶点;高潮
cling,粘着;依附
clot,凝块;结团
clutch,抓住
clutter,喧闹;杂乱
coat,衣架
colonial,殖民地的
comb,梳，马梳
combustible,易燃的;可燃的
commitment,交托;许诺
commotion,混乱
compatriot,同国人
compel,强迫
compensation,补偿，赔偿
compile,编辑;搜集
complex,合成的;复杂的
complicate,使复杂;使陷入
composition,写作;组成
compound,混合物
comprise,包括;构成
concave,凹的
concession,让步;承认
condemn,谴责; 宣告…有罪
confess,坦白
conservation,保存
constant,坚定的;永恒的
constitute,构成
constraint,强制;
consult,商量;请教
consume,消费; 消灭
contaminate,弄脏; 污染
contingency,偶然
contradict,反驳;同…相抵触
contrary,相反的
controversial,争论的
convey,运送;传达
core,核心
coronary,冠状的
corpus,身体，尸体
correspond,符合;相当
corrupt,腐败的;贪污的
costume,服装
counsel,商议;劝告
covert,隐藏的
crawl,爬行
cricket,蟋蟀
criterion,标准
crop,收成;庄稼
crown,王冠
crystalline,水晶的
cultivate,耕作;培养
curriculum,课程
dab,轻拍
damn,诅咒
damp,潮湿;沮丧
data,datum的复数
datum,论据
deal,分配;给予
debtor,债务人
decade,十;十年
decline,下降;偏斜;衰落
deduce,推断
default,违约，拖欠
defense,防御，保卫
define,解释;限定
delicate,细软的;精美的
delude,欺骗
deluge,洪水
demographic,人口统计的
demonstrate,论证;表明
deposit,存放;储蓄
depress,降低;使消沉
descend,下降;下倾
descent,下降
description,描写;说明书
design,计划;设计
desperate,令人绝望的，危急的
despite,憎恨，轻视
destroy,破坏
detain,拘留;阻住
detect,察觉
detergent,使干净的
detract,贬低
diagnosis,诊断
dictate,口述
dietitian,饮食学家
dig,挖掘;发掘
dilute,稀释
dioxide,二氧化物
diploma,执照，文凭
directory,名录
disaster,灾难
discard,丢弃
discharge,卸货
discipline,纪律;训练
discreet,谨慎的
discrete,分离的
disfigure,损害，玷污
dismantle,脱掉...的衣服
dismiss,打发;解雇
dispatch,派遣;迅速办理
dispute,争论;争执
distill,蒸馏;提取精华
distinct,独特的;清楚的
distinguish,区别;辨认出
distress,悲痛;贫困
distribute,分发;分布
divine,神的;神圣的
division,分开;分配
dizzy,头晕目眩的
dormitory,宿舍
dramatic,戏剧的;激动人心的
drawback,退款;欠缺
diagnosis,操练;钻
dictate,旱灾
dietitian,饮食学家
dig,挖掘;发掘
dilute,v. 稀释 adj.
dioxide,二氧化物
diploma,执照，文凭
directory,名录
disaster,灾难
discard,vt.丢弃 v
discharge,vt.卸货 vi.n.
discipline,n.纪律;v.训练
discreet,adj.谨慎的
discrete,adj.分离的
discriminate,v.区别;辨别
disfigure,v.损害，玷污
dismantle,v.脱掉...的衣服
dismiss,vt.打发;解雇 vi.
dispatch,vt.派遣;迅速办理 vi.
dispute,v.争论;争执
distill,vt.蒸馏;提取精华 vi.
distinct,adj.独特的;清楚的
distinguish,v.区别;辨认出
distress,n.悲痛;贫困 v.
distribute,vt.分发;分布 v.
divine,adj.神的;神圣的
division,分开;分配
dizzy,头晕目眩的
dormitory,宿舍
dramatic,adj.戏剧的;激动人心的
drawback,n.退款;欠缺
drill,n.操练;钻 v.
drought,n.旱灾
drum,n.鼓
dub,vt.授予 n.
dubious,adj.半信半疑的;含糊的
dull,adj.迟钝的;阴郁的
dwell,vi.住;寓于
dynamic,adj.动力的
ease,n.舒适;容易 vt.vi.
ecosystem,n.生态系统
elaborate,adj.精心制作的;复杂的
elective,adj.选任的;选修的
electron,n.电子
eligible,adj.合格的;适宜的
embank,v.筑堤
embarrass,vt.使窘迫;妨碍
embryo,n.胚胎;萌芽时期
emerge,vi.浮现;出现
emit,vt.散发;发表
emotion,激动;感情
encounter,v.遭遇，遇到 n.
endurance,n.忍耐;持久
engrave,v.刻上;铭记
enhance,Vt.增加 v.
enormous,adj.巨大的
enrol,vt.登记;招收 Vi.
Ensemble,n.全体
ensure,Vt.保证;保护 v.
enthusiasm,n.热情;热忱
entrant,n.新学员
entry,n.进入;登记;入口
environmental,adj.环境的
epidemic,adj.传染的;流行的
equipment,n.装备;设备
equivalent,adj.相当的;等价的
erase,vt.擦掉;删去
escort,n.护卫;陪同 v.
essential,本质的;基本的;必要的
estate,财产
estimate,v.估计;评价 n.
eucalyptus,桉树属植物
evaporate,使蒸发;使脱水
evolve,使发展;推论
exaggerate,夸张的;过大的
exchange,vt.交换;交流 n.
executive,adj.执行的;行政上的
exhale,v.呼出;发散出
exorbitant,过度的;昂贵的
expedient,adj.便利的 n.
exploit,vt.开拓;开采;利用 v.
expose,vt.使暴露;v. 揭露
external,adj.外部的;客观的
extinct,灭绝的;消灭了的
Extract,vt.取出;榨出
extraordinary,n. adj. 非常的，非凡的
facade,n.立面;表面
facet,n.小面 vt.
faculty,n.才能;全体人员
fade,vi.枯萎;消失 vt. Adj. n.
fake,n.伪造;伪装 vi. vt.
fascinate,vt.迷住;使呆住 vi.
fatal,adj.命运的;致命的
fatigue,n.疲劳 vi. vt.
fauna,动物群
feature,特征;面貌
federation,同盟;联邦
fertile,肥沃的;多产的
fetus,胎儿
fibre,纤维
filter,滤器
financial,财政的
flake,薄片;火花
flame,火焰;光辉
flaw,裂缝;缺点
flint,打火石;坚硬物
flip,vt.掷;抽打 vi.
flora,植物群
flourish,繁荣
fluctuate,vt.波动;动摇
forestry,林业
formula,公式;处方
foul,难闻的;肮脏的
fraction,片断;碎片
fragile,易碎的;虚弱的
fragrant,芬芳的
fraud,欺骗;诡计
frequent,adj.频繁的;屡次的
friction,摩擦
froth,n. 泡沫;渣滓 vi. vt.
frustrate,挫败;阻挠
fulfil(l) vt. 履行;完成,
fume,n.烟气 v.冒烟，激动
function,n.功能;职务 vi.
fury,n.狂怒;剧烈
futile,adj.无效的;轻浮的
hairdressing,理发、美发 、美容
handedness,用右手或左手的习惯
handle,柄、把手
harbor,海港
hardworking,苦干的、不辞辛苦的
hazardous,危险的、冒险的
headline,大字标题
heavenly,如天堂的、神圣的
hectic,脸上发红、发热的
hemisphere,半球
hexagonal,六角形的、六边形的
highlight,加亮区、精彩场面
high,高科技
historic,有历史性的、历史上著名的
hive,蜂房
homeless,无家的、无家可归的
homesickness,思家的、思乡病的
honestly,真诚的、公正的
honey,蜜、蜂蜜
hospitality,好客、宜人、盛情
hothouse,温室、温床
hotspot,热点、热区
household,家庭、家族、王室
housing,供给住宅、住宅群
hoyden,爱喧闹的顽皮女孩
huff,激怒、发怒
humanity,人性、人类、博爱、仁慈
humble,卑下的、微贱的
humorous,幽默的、滑稽的
hydrogen,氢
hectare,公顷
heal,治愈、医治
hence,因此、从此
harassment,折磨
heroin,海洛因、吗啡
implement,工具、器具;贯彻、实现;执行
italics,斜体字
idealistic,唯心论的、空想主义、唯心主义者的
identical,同一的、同样的
ignorance,无知、不知
ignore,不理睬、忽视
illuminate,照亮、照明、阐明、说明;照亮
illustrate,举例说明、图解、阐明;举例
illustration,说明、例证、图表
imitation,模仿、效法、冒充
immigrant,移来的、移民的、移居的;侨民
immune,免疫的
impact,碰撞、冲击、冲突;撞击、挤入、压紧
impair,削弱
impartial,公平的、不偏不倚的
impend,进行威胁、即将发生
implementation,执行
impress,印、盖印、留下印象
impression,印象、感想、盖印
inadequate,不充分的、不适当的
inauthentic,不真实的、假的、不可靠的
inbreeding,同系繁殖、近亲交配
incorporate,合并的、结社的;合并
incredibly,不能相信地
incur,招致
indicate,指出、显示、象征、预示
individual,个人、个体;个别的、单独的
individualistic,个人主义的
individuality,个性、个人的特征
indulge,纵容
industrialization,工业化、产业化
inevitable,不可避免的、必然的
infant,婴儿、幼儿;婴儿的、幼稚的
influential,有影响的、有势力的
informality,非正式
ingenuity,机灵、独特性、精巧
ingredient,成分、因素
inhale,吸入、吸气
inherit,继承、遗传而得
initial,最初的、词首的
initially,最初、开头
initiative,主动
innovation,改革、创新
innovative,革新的、创新的
insert,插入、嵌入
insignificant,无关紧要、可忽略的
inspection,检察、视察
instruct,教导、命令
instrument,工具、手段、器械
instrumental,仪器的、器械的
insufficient,不足的、不够的
insulate,使绝缘、隔离
insurance,保险、保险单、保险费
intake,水管、煤气管的进口、出口
integrate,使成整体、结合
intelligible,可理解的
interior,内部的、内的
interplay,相互影响
interpreter,解释者、翻译员
interview,接见、会见
intimidate,胁迫
intonation,语调、声调
intuitively,直觉的、直观的
inundate,淹没
invention,发明、创造
inventive,善于发明、创造的
investigate,调查、研究
investigation,调查、研究
iodine,碘、碘酒
irony,反话、讽刺
irresponsibility,无责任
irreversible,不能撤回的、不能取消的
irritate,激怒、使急噪;刺激
irritation,愤怒
isolate,使隔离、使孤立;隔离种群
issue,出版、发行;发行、流出
itemize,详细说明、逐条登记
landscape,风景、山水画、地形;美化
lack,缺乏
landfill,垃圾掩埋法、垃圾
lather,肥皂泡
leather,皮革、皮革制品
Legal,法律的、法定的、合法
leisure,空闲、闲暇、悠闲
lexicographer,词典编纂者
likelihood,可能、可能性
limitation,限制、局限性
licensee,获许可的人、领到执照的人
literature,文学、文艺、著作
loan,贷款、借出;借、借给
locate,查找、位于;定位、位于
location,位置、场所、特定区域
looseness,松开、解除
luggage,行李、皮箱
luxury,奢侈、华贵
